ID;Name;Coordinates
2974591;Sigean;43.0279, 2.97834
2976879;Saint-Sulpice-la-Pointe;43.775, 1.68511
2977636;Saint-Pé-de-Bigorre;43.10357, -0.15988
2978369;Saint-Martin-de-Londres;43.79127, 3.73117
2979030;Saint-Just;43.65806, 4.11472
2982851;Roquemaure;44.05158, 4.77797
2983591;Rieux-Volvestre;43.25784, 1.1964
2983736;Ria-Sirach;42.61667, 2.4
2983900;Restinclières;43.72322, 4.03738
2986109;Pont-Saint-Esprit;44.25656, 4.6478
2986375;Pompignan;43.81768, 1.31209
2987180;Pignan;43.58436, 3.75853
2990284;Nogaro;43.75821, -0.03385
2993038;Montans;43.867, 1.88568
2993228;Mons;44.11563, 4.17185
2994870;Mazères;43.25174, 1.67816
3005657;Lavernose-Lacasse;43.397, 1.26205
3011288;Labastide-Beauvoir;43.48166, 1.66533
3024231;Colombiès;44.3443, 2.33673
3028092;Caylus;44.23646, 1.77105
3031949;Boisseron;43.75795, 4.0797
3034142;Beaumont-sur-Lèze;43.38056, 1.35733
3035388;Baho;42.70084, 2.8222
3036287;Aucamville;43.67053, 1.42766
2971258;Uzès;44.01251, 4.41973
2972010;Trèbes;43.21028, 2.44175
2972315;Toulouse;43.60426, 1.44367
2975492;Saze;43.94126, 4.68163
2979328;Saint-Jean-de-Fos;43.70065, 3.55132
2981073;Saint-Clément-de-Rivière;43.68333, 3.83333
2981863;Saint-Alexandre;44.22787, 4.62153
2983929;Réquista;44.03276, 2.53515
2984879;Quarante;43.34665, 2.96265
2985738;Poussan;43.48944, 3.67083
2986204;Ponteilla;42.62659, 2.81427
2991153;Muret;43.45998, 1.32541
2992526;Montgiscard;43.45801, 1.57295
2992926;Montberon;43.71602, 1.4801
2995055;Maureilhan;43.3576, 3.12011
2995438;Marssac-sur-Tarn;43.91768, 2.02921
2997936;Lodève;43.73178, 3.31959
2998644;Lézignan-Corbières;43.20085, 2.75745
2999981;Lespignan;43.27364, 3.17193
3000444;Les Mages;44.22875, 4.16633
3002541;Le Pouget;43.59197, 3.5245
3005839;Lavalette;43.18428, 2.26825
3007535;Lanta;43.56076, 1.6545
3011313;Labarthe-Rivière;43.08026, 0.67178
3016257;Gerde;43.05528, 0.16698
3023606;Cornebarrieu;43.64967, 1.32588
3024932;Cintegabelle;43.31386, 1.53146
3028641;Carcassonne;43.21649, 2.34863
3028739;Capdenac-Gare;44.57567, 2.08079
3029108;Calmont;43.28655, 1.63308
3030127;Briatexte;43.75237, 1.90879
3036893;Armissan;43.18778, 3.0966
2969400;Vic-Fezensac;43.75873, 0.30319
2968654;Villemolaque;42.58899, 2.83815
2969556;Vestric-et-Candiac;43.74067, 4.25861
2969817;Vernet-les-Bains;42.54946, 2.38687
2971046;Valence-d'Albigeois;44.01957, 2.40425
2974648;Seysses;43.49801, 1.31081
2974879;Sernhac;43.91149, 4.55201
2975659;Sauveterre;44.02282, 4.79347
2976653;Saint-Victor-la-Coste;44.06197, 4.64221
2977049;Saint-Sauveur;43.74891, 1.39969
2979475;Saint-Hippolyte-du-Fort;43.96562, 3.85597
2981193;Saint-Chély-d'Apcher;44.80317, 3.27567
2982064;Sabran;44.15099, 4.54775
2988259;Péchabou;43.50132, 1.50769
2989193;Ortaffa;42.58025, 2.92502
2990344;Nissan-lez-Enserune;43.28839, 3.128
2992327;Montlaur;43.48935, 1.56807
2996089;Maraussan;43.36686, 3.15777
2998622;Lherm;43.4297, 1.22157
3003918;Le Grau-du-Roi;43.53881, 4.13559
3006543;Lasalle;44.04573, 3.85244
3016023;Gimont;43.62638, 0.8764
3016822;Gaillac-Toulza;43.25472, 1.47118
3020916;Dourgne;43.48517, 2.13841
3032497;Bizanet;43.16498, 2.87046
3035985;Aussonne;43.68392, 1.31926
3036323;Aubin;44.52809, 2.24439
