ID;Name;Coordinates
2991153;Muret;43.45998, 1.32541
2997936;Lodève;43.73178, 3.31959
3018238;Florac;44.32626, 3.59276
2998264;Limoux;43.05487, 2.22173
3035418;Bagnères-de-Bigorre;43.06497, 0.14876
2988670;Pamiers;43.1165, 1.61079
2979657;Saint-Girons;42.98491, 1.14587
2980045;Saint-Gaudens;43.10813, 0.72318
3038224;Alès;44.12489, 4.08082
2968755;Villefranche-de-Rouergue;44.35166, 2.03702
3028263;Castres;43.60527, 2.24088
2985653;Prades;42.61755, 2.42177
2990919;Narbonne;43.18396, 3.00141
3028322;Castelsarrasin;44.04042, 1.10666
3037070;Argelès-Gazost;43.00271, -0.09914
2993875;Millau;44.09973, 3.07848
3027888;Ceret;42.48533, 2.74804
2998811;Le Vigan;43.99106, 3.60648
2993749;Mirande;43.51443, 0.40389
3023943;Condom;43.95816, 0.37199
3032833;Béziers;43.34122, 3.21402
